bert_precision,bert_recall,bert_f1,nli_contradiction,nli_neutral,nli_entailment,score_avg
0.11801987141370773,0.3024272620677948,0.20986120402812958,0.0057704211212694645,0.9775834083557129,0.016646133735775948,3.5
0.26360031962394714,0.6060112118721008,0.4302815794944763,0.0008362950175069273,0.9977243542671204,0.0014393827877938747,5.0
0.5722226500511169,0.8196596503257751,0.6937259435653687,0.0006401178543455899,0.9974818825721741,0.0018780004465952516,4.0
0.14986611902713776,0.5802936553955078,0.3573956787586212,0.022665701806545258,0.9705138206481934,0.006820430979132652,5.0
0.15644444525241852,0.2983480989933014,0.22768104076385498,0.0008687257068231702,0.9977540373802185,0.0013772464590147138,3.0
0.15107594430446625,0.3117928206920624,0.2314390391111374,0.07425948232412338,0.8554325699806213,0.07030795514583588,2.0
0.2635798156261444,0.40031445026397705,0.33214953541755676,0.024706099182367325,0.9305369257926941,0.044756945222616196,2.5
0.3198311924934387,0.42473629117012024,0.3727882206439972,0.0018393384525552392,0.995315670967102,0.0028449746314436197,5.0
-0.07703202962875366,-0.024233656004071236,-0.04906691238284111,0.6207932829856873,0.30291077494621277,0.07629598677158356,3.5
0.6633391976356506,0.7219850420951843,0.6930100917816162,0.0581619068980217,0.13703398406505585,0.8048041462898254,5.0
0.6731762290000916,0.6892032623291016,0.681696891784668,0.00949837639927864,0.2742319405078888,0.7162697315216064,5.0
0.7499493360519409,0.7867431044578552,0.7686637043952942,0.0011686128564178944,0.279183954000473,0.7196474671363831,5.0
0.18821251392364502,0.2502918243408203,0.22033527493476868,0.6700802445411682,0.28417107462882996,0.04574868828058243,2.0
0.5683865547180176,0.49500399827957153,0.5322087407112122,0.17368564009666443,0.36620649695396423,0.46010783314704895,4.5
0.2131960391998291,0.3085862994194031,0.26165735721588135,0.0024148919619619846,0.7571589350700378,0.2404261976480484,2.0
0.02983519248664379,0.27173882722854614,0.14929991960525513,0.006306380964815617,0.8128798007965088,0.18081381916999817,4.5
0.7766718864440918,0.8095120191574097,0.7933818697929382,0.0014363751979544759,0.19049739837646484,0.8080663084983826,5.0
0.22653096914291382,0.28281253576278687,0.25573164224624634,0.00047177905798889697,0.9954225420951843,0.004105626605451107,2.0
0.3047133982181549,0.4000799357891083,0.3530217707157135,0.36909952759742737,0.6223782300949097,0.008522240445017815,2.0
0.11991136521100998,0.3081766963005066,0.21360719203948975,0.019369227811694145,0.7206727266311646,0.25995808839797974,2.5
0.8704143166542053,0.8541813492774963,0.8625101447105408,0.002527385950088501,0.01744629070162773,0.980026364326477,5.0
0.8781663775444031,0.8622398972511292,0.870402991771698,0.002867888193577528,0.008764458820223808,0.9883676171302795,5.0
0.30898845195770264,0.2869992256164551,0.29911088943481445,0.052574388682842255,0.7277125120162964,0.21971309185028076,1.5
0.20174801349639893,0.35084009170532227,0.2764089107513428,0.009319149889051914,0.8417062759399414,0.14897458255290985,2.5
0.8704143166542053,0.8541813492774963,0.8625101447105408,0.002527385950088501,0.01744629070162773,0.980026364326477,5.0
0.22308827936649323,0.25907444953918457,0.24225251376628876,0.13746681809425354,0.7671523690223694,0.09538077563047409,2.0
0.11725647747516632,0.35489943623542786,0.23459842801094055,0.0018574213609099388,0.938089907169342,0.06005270406603813,3.0
0.33986613154411316,0.4318001866340637,0.3864368796348572,0.005555657669901848,0.4938203692436218,0.5006240010261536,3.0
-0.038648493587970734,0.16420698165893555,0.062251508235931396,0.035093650221824646,0.9433076977729797,0.021598635241389275,2.5
0.11634380370378494,0.16846971213817596,0.14366769790649414,0.00791796762496233,0.961468517780304,0.030613476410508156,3.5
0.3090001046657562,0.1924441009759903,0.25128287076950073,0.8438198566436768,0.0553128682076931,0.10086730867624283,4.0
0.42752939462661743,0.3840339481830597,0.40665751695632935,0.002465341007336974,0.9119727611541748,0.08556188642978668,4.5
-0.013924622908234596,0.1793244630098343,0.08233723789453506,0.047408971935510635,0.6721278429031372,0.28046318888664246,3.0
